"#";"Title_Country";"Title";"Cloneof_Country";"Cloneof";"Developer(s)";"Publisher(s) – North America";"Publisher(s) - Europe / PAL";"Release date – North America";"Release date – Europe / PAL"
1;"()";"3-D Battles of WorldRunner, The";"()";;"Square";"Acclaim Entertainment";"Unreleased";"September 1987";"Unreleased"
2;"()";"8 Eyes";"()";;"Thinking Rabbit";"Taxan";"Unreleased";"January 1990";"Unreleased"
3;"()";"10-Yard Fight";"()";;"Irem";"Nintendo";"Nintendo";"10/18/85";"12/06/86"
4;"()";"720°";"()";;"Beam Software";"Mindscape";"Unreleased";"November 1989";"Unreleased"
5;"()";1942;"()";;"Micronics";"Capcom";"Unreleased";"11/01/86";"Unreleased"
6;"()";"1943: The Battle of Midway";"()";;"Capcom";"Capcom";"Unreleased";"October 1988";"Unreleased"
7;"()";"Abadox: The Deadly Inner War";"()";;"Natsume";"Milton Bradley Company";"Unreleased";"March 1990";"Unreleased"
8;"()";"Addams Family, The";"()";;"Ocean Software";"Ocean Software";"Ocean Software";"January 1992";"December 1992"
9;"()";"Addams Family: Pugsley's Scavenger Hunt, The";"()";;"Enigma Variations";"Ocean Software";"Ocean Software";"August 1993";1992
10;"()";"Advanced Dungeons & Dragons: DragonStrike";"()";;"Westwood Associates";"FCI";"Unreleased";"July 1992";"Unreleased"
11;"()";"Advanced Dungeons & Dragons: Heroes of the Lance";"()";;"Natsume";"FCI";"Unreleased";"January 1991";"Unreleased"
12;"()";"Advanced Dungeons & Dragons: Hillsfar";"()";;"Crosstalk";"FCI";"Unreleased";"February 1993";"Unreleased"
13;"()";"Advanced Dungeons & Dragons: Pool of Radiance";"()";;"Marionette, SRS";"FCI";"Unreleased";"April 1992";"Unreleased"
14;"(NA)";"Adventure Island";"()";;"Hudson Soft";"Hudson Soft";"Hudson Soft";"September 1988";1992
15;"(EU)";"Adventure Island Classic";"(NA)";"Adventure Island";"Hudson Soft";"Hudson Soft";"Hudson Soft";"September 1988";1992
16;"(FR)";"Adventure Island Classic in the Pacific";"(NA)";"Adventure Island";"Hudson Soft";"Hudson Soft";"Hudson Soft";"September 1988";1992
17;"(NA)";"Adventure Island II";"()";;"Now Production";"Hudson Soft";"Hudson Soft";"February 1991";"07/22/92"
18;"(EU)";"Adventure Island Part II, The";"(NA)";"Adventure Island II";"Now Production";"Hudson Soft";"Hudson Soft";"February 1991";"07/22/92"
19;"()";"Adventure Island 3";"()";;"Now Production";"Hudson Soft";"Unreleased";"September 1992";"Unreleased"
20;"()";"Adventures in the Magic Kingdom";"()";;"Capcom";"Capcom";"Capcom";"June 1990";"12/10/92"
21;"()";"Adventures of Bayou Billy, The";"()";;"Konami";"Konami";"Konami";"June 1989";"01/24/91"
22;"()";"Adventures of Dino Riki";"()";;"Hudson Soft";"Hudson Soft";"Unreleased";"September 1989";"Unreleased"
23;"()";"Adventures of Gilligan's Island, The";"()";;"Human Entertainment";"Bandai";"Unreleased";"July 1990";"Unreleased"
24;"()";"Adventures of Lolo";"()";;"HAL Laboratory";"HAL America";"HAL Laboratory";"April 1989";"02/21/91"
25;"()";"Adventures of Lolo 2";"()";;"HAL Laboratory";"HAL America";"HAL Laboratory";"March 1990";1991
26;"()";"Adventures of Lolo 3";"()";;"HAL Laboratory";"HAL America";"HAL Laboratory";"11/21/91";"05/27/92"
27;"()";"Adventures of Rad Gravity, The";"()";;"Interplay Productions";"Activision";"Activision";"December 1990";"05/30/91"
28;"()";"Adventures of Rocky and Bullwinkle and Friends, The";"()";;"Radical Entertainment";"THQ";"Unreleased";"December 1992";"Unreleased"
29;"()";"Adventures of Tom Sawyer";"()";;"Winkysoft";"SETA";"Unreleased";"August 1989";"Unreleased"
30;"()";"Air Fortress";"()";;"HAL Laboratory";"HAL America";"HAL Laboratory";"September 1989";1989
31;"()";"Airwolf";"()";;"Beam Software";"Acclaim Entertainment";"Acclaim Entertainment";"June 1989";"August 1988"
32;"(NA)";"Al Unser Jr.'s Turbo Racing";"()";;"Data East";"Data East";"Data East";"March 1990";1991
33;"(EU)";"Turbo Racing";"(NA)";"Al Unser Jr.'s Turbo Racing";"Data East";"Data East";"Data East";"March 1990";1991
34;"(NA)";"Alex Demeo's Race America";"()";;"Imagineering";"Absolute Entertainment";"Milton Bradley Company";"May 1992";1990
35;"(EU)";"Corvette ZR-1 Challenge";"(NA)";"Alex Demeo's Race America";"Imagineering";"Absolute Entertainment";"Milton Bradley Company";"May 1992";1990
36;"()";"Alfred Chicken";"()";;"Twilight";"Mindscape";"Mindscape";"February 1994";1993
37;"()";"Alien 3";"()";;"Probe Software";"LJN";"LJN";"March 1993";1993
38;"()";"All-Pro Basketball";"()";;"Aicom";"Vic Tokai";"Unreleased";"December 1989";"Unreleased"
39;"()";"Alpha Mission";"()";;"SNK";"SNK";"SNK";"October 1987";1987
40;"()";"Amagon";"()";;"Aicom";"American Sammy";"Unreleased";"April 1989";"Unreleased"
41;"()";"American Gladiators";"()";;"Incredible Technologies";"GameTek";"Unreleased";"October 1991";"Unreleased"
